movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
1607,A Bronx Tale,1993-10-01,22000000,17287898,121,7.874,2718,8.4741,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1621,Trading Places,1983-06-07,15000000,90404800,116,7.228,3536,16.7984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,Freedom Writers,2007-01-05,21000000,43095175,123,7.922,2361,2.589,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1726,Iron Man,2008-04-30,140000000,585174222,126,7.655,27579,18.8244,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-15,379000000,1046721266,136,6.565,14643,18.91,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1891,The Empire Strikes Back,1980-05-20,18000000,538400000,124,8.393,17923,8.5553,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1892,Return of the Jedi,1983-05-25,32350000,572700000,132,7.903,16520,8.4617,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1930,The Amazing Spider-Man,2012-06-23,215000000,757930663,136,6.724,18123,13.53,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1955,The Elephant Man,1980-10-09,5000000,26000000,124,8.05,3785,4.3552,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2022,Mr. Deeds,2002-06-28,50000000,171269565,96,5.915,2440,15.9653,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2062,Ratatouille,2007-06-28,150000000,623726000,111,7.8,18018,17.0235,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2118,L.A. Confidential,1997-09-19,35000000,126216940,138,7.803,5325,12.5831,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
